videoName,videoNum,videoReference,audioReference,stopTime,rotation
alley_right,4,DJVVideos/alley_right,4,9,-91.026
lemonadestand_right,57,DJVVideos/lemonadestand_right,57,7,183.812
hospital_right,21,DJVVideos/hospital_right,21,10,0
gymnasium_right,35,DJVVideos/gymnasium_right,35,8,72.538
observatory_right,40,DJVVideos/observatory_right,40,10,119.459
nursery_right,55,DJVVideos/nursery_right,55,9,16.744
casino_right,14,DJVVideos/casino_right,14,5,185.639
garden_right,54,DJVVideos/garden_right,54,5,179.733
safari_left,56,DJVVideos/safari_left,56,9,-99.347
waitingroom_left,38,DJVVideos/waitingroom_left,38,7,0
cardealership_left,22,DJVVideos/cardealership_left,22,12,-40.887
postoffice_left,34,DJVVideos/postoffice_left,34,6,-164.668
campsite_left,51,DJVVideos/campsite_left,51,9,98.676
subwaycar_left,6,DJVVideos/subwaycar_left,6,7,-90.023
deck_left,45,DJVVideos/deck_left,45,4,4.709
fountain_left,18,DJVVideos/fountain_left,18,9,0
